kode_provinsi,nama_provinsi,tahun,jenis_rabies,jumlah_kasus_rabies,orderer
64,"Prov. Kalimantan Timur",2012,"VAR",389,2
64,"Prov. Kalimantan Timur",2012,"LYSSA",3,3
71,"Prov. Sulawesi Utara",2010,"GHPR",1412,1
71,"Prov. Sulawesi Utara",2010,"VAR",439,2
71,"Prov. Sulawesi Utara",2010,"LYSSA",10,3
71,"Prov. Sulawesi Utara",2011,"GHPR",2961,1
71,"Prov. Sulawesi Utara",2011,"VAR",1086,2
71,"Prov. Sulawesi Utara",2011,"LYSSA",26,3
71,"Prov. Sulawesi Utara",2012,"GHPR",1201,1
71,"Prov. Sulawesi Utara",2012,"VAR",841,2
71,"Prov. Sulawesi Utara",2012,"LYSSA",9,3
72,"Prov. Sulawesi Tengah",2010,"GHPR",591,1
72,"Prov. Sulawesi Tengah",2010,"VAR",371,2
72,"Prov. Sulawesi Tengah",2010,"LYSSA",3,3
72,"Prov. Sulawesi Tengah",2011,"GHPR",976,1
72,"Prov. Sulawesi Tengah",2011,"VAR",660,2
72,"Prov. Sulawesi Tengah",2011,"LYSSA",21,3
72,"Prov. Sulawesi Tengah",2012,"GHPR",603,1
72,"Prov. Sulawesi Tengah",2012,"VAR",601,2
72,"Prov. Sulawesi Tengah",2012,"LYSSA",0,3
73,"Prov. Sulawesi Selatan",2010,"GHPR",99,1
73,"Prov. Sulawesi Selatan",2010,"VAR",85,2
73,"Prov. Sulawesi Selatan",2010,"LYSSA",0,3
73,"Prov. Sulawesi Selatan",2011,"GHPR",2454,1
73,"Prov. Sulawesi Selatan",2011,"VAR",1053,2
73,"Prov. Sulawesi Selatan",2011,"LYSSA",0,3
73,"Prov. Sulawesi Selatan",2012,"GHPR",119,1
73,"Prov. Sulawesi Selatan",2012,"VAR",0,2
73,"Prov. Sulawesi Selatan",2012,"LYSSA",0,3
74,"Prov. Sulawesi Tenggara",2010,"GHPR",1267,1
74,"Prov. Sulawesi Tenggara",2010,"VAR",478,2
74,"Prov. Sulawesi Tenggara",2010,"LYSSA",4,3
74,"Prov. Sulawesi Tenggara",2011,"GHPR",1134,1
74,"Prov. Sulawesi Tenggara",2011,"VAR",959,2
74,"Prov. Sulawesi Tenggara",2011,"LYSSA",5,3
74,"Prov. Sulawesi Tenggara",2012,"GHPR",1265,1
74,"Prov. Sulawesi Tenggara",2012,"VAR",825,2
74,"Prov. Sulawesi Tenggara",2012,"LYSSA",5,3
75,"Prov. Gorontalo",2010,"GHPR",325,1
75,"Prov. Gorontalo",2010,"VAR",127,2
75,"Prov. Gorontalo",2010,"LYSSA",2,3
75,"Prov. Gorontalo",2011,"GHPR",440,1
75,"Prov. Gorontalo",2011,"VAR",226,2
75,"Prov. Gorontalo",2011,"LYSSA",3,3
75,"Prov. Gorontalo",2012,"GHPR",92,1
75,"Prov. Gorontalo",2012,"VAR",74,2
75,"Prov. Gorontalo",2012,"LYSSA",0,3
76,"Prov. Sulawesi Barat",2010,"GHPR",97,1
76,"Prov. Sulawesi Barat",2010,"VAR",50,2
76,"Prov. Sulawesi Barat",2010,"LYSSA",5,3
76,"Prov. Sulawesi Barat",2011,"GHPR",307,1
76,"Prov. Sulawesi Barat",2011,"VAR",204,2
76,"Prov. Sulawesi Barat",2011,"LYSSA",0,3
76,"Prov. Sulawesi Barat",2012,"GHPR",0,1
76,"Prov. Sulawesi Barat",2012,"VAR",0,2
76,"Prov. Sulawesi Barat",2012,"LYSSA",0,3
81,"Prov. Maluku",2010,"GHPR",778,1
81,"Prov. Maluku",2010,"VAR",359,2
81,"Prov. Maluku",2010,"LYSSA",21,3
81,"Prov. Maluku",2011,"GHPR",3206,1
81,"Prov. Maluku",2011,"VAR",2074,2
81,"Prov. Maluku",2011,"LYSSA",31,3
81,"Prov. Maluku",2012,"GHPR",198,1
81,"Prov. Maluku",2012,"VAR",152,2
81,"Prov. Maluku",2012,"LYSSA",3,3
82,"Prov. Maluku Utara",2010,"GHPR",50,1
82,"Prov. Maluku Utara",2010,"VAR",40,2
82,"Prov. Maluku Utara",2010,"LYSSA",1,3
82,"Prov. Maluku Utara",2011,"GHPR",237,1
82,"Prov. Maluku Utara",2011,"VAR",232,2
82,"Prov. Maluku Utara",2011,"LYSSA",6,3
82,"Prov. Maluku Utara",2012,"GHPR",2045,1
82,"Prov. Maluku Utara",2012,"VAR",1501,2
82,"Prov. Maluku Utara",2012,"LYSSA",19,3
91,"Prov. Papua Barat",2010,"GHPR",0,1
91,"Prov. Papua Barat",2010,"VAR",0,2
91,"Prov. Papua Barat",2010,"LYSSA",0,3
91,"Prov. Papua Barat",2011,"GHPR",0,1
91,"Prov. Papua Barat",2011,"VAR",0,2
91,"Prov. Papua Barat",2011,"LYSSA",0,3
91,"Prov. Papua Barat",2012,"GHPR",0,1
91,"Prov. Papua Barat",2012,"VAR",0,2
